<EMAIL>sbell@aellab.com</EMAIL><LAB EDD>T2023543(ADAPT).csv</LAB EDD><FIELD EDD>T2023543(ADAPT Field).csv</FIELD EDD>
"Export_User","Export_DateTime","Facility_ID","TestSite_ID","Facility_Name","TestSite_Name","Well_Purged","Sample_ID","Sample_Date","Sample_Method","Sample_Filtered","Matrix","STORET_Code","Parameter","Lab_Cert_Numb","Prep_Date","Prep_Method","Preserv_Intact","Analysis_Date","Analysis_Method","Result","Units","Qualifier","Detection_Limit","Comments","Report_Type","Key","Rev","Testsite Table","Program_Area","Client_Analyte_ID","Error","Dilution","Percent_Moisture","Reporting_Limit"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","MW-35","2020/12/18 11:45:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 11:45:00","NA","NA","2020/12/18 11:45:00","EPA 120.1","430","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","MW-34","2020/12/18 12:11:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 12:11:00","NA","NA","2020/12/18 12:11:00","EPA 120.1","700","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","MW-29R","2020/12/18 12:36:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 12:36:00","NA","NA","2020/12/18 12:36:00","EPA 120.1","610","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","MW-32","2020/12/18 13:00:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 13:00:00","NA","NA","2020/12/18 13:00:00","EPA 120.1","730","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","MW-12R","2020/12/18 13:27:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 13:27:00","NA","NA","2020/12/18 13:27:00","EPA 120.1","210","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","MW-28RR","2020/12/18 13:53:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 13:53:00","NA","NA","2020/12/18 13:53:00","EPA 120.1","180","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","MW-31R","2020/12/18 14:20:00","PP","NA","W","000094","Specific Conductance","NA","12/18/2020 14:20:00","NA","NA","2020/12/18 14:20:00","EPA 120.1","530","umhos/cm","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","MW-33","2020/12/18 10:54:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 10:54:00","NA","NA","2020/12/18 10:54:00","SM4500 O (A-G)","0.64","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","MW-36","2020/12/18 11:20:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 11:20:00","NA","NA","2020/12/18 11:20:00","SM4500 O (A-G)","0.55","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","MW-35","2020/12/18 11:45:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 11:45:00","NA","NA","2020/12/18 11:45:00","SM4500 O (A-G)","0.29","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","MW-34","2020/12/18 12:11:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 12:11:00","NA","NA","2020/12/18 12:11:00","SM4500 O (A-G)","1.25","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","MW-29R","2020/12/18 12:36:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 12:36:00","NA","NA","2020/12/18 12:36:00","SM4500 O (A-G)","1.2","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","MW-32","2020/12/18 13:00:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 13:00:00","NA","NA","2020/12/18 13:00:00","SM4500 O (A-G)","1.13","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","MW-12R","2020/12/18 13:27:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 13:27:00","NA","NA","2020/12/18 13:27:00","SM4500 O (A-G)","0.7","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","MW-28RR","2020/12/18 13:53:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 13:53:00","NA","NA","2020/12/18 13:53:00","SM4500 O (A-G)","1","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","MW-31R","2020/12/18 14:20:00","PP","NA","W","000299","Dissolved Oxygen","NA","12/18/2020 14:20:00","NA","NA","2020/12/18 14:20:00","SM4500 O (A-G)","1.15","mg/L","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","MW-33","2020/12/18 10:54:00","PP","NA","W","000406","pH","NA","12/18/2020 10:54:00","NA","NA","2020/12/18 10:54:00","SM4500 H+","6.9","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","MW-36","2020/12/18 11:20:00","PP","NA","W","000406","pH","NA","12/18/2020 11:20:00","NA","NA","2020/12/18 11:20:00","SM4500 H+","7.1","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","MW-35","2020/12/18 11:45:00","PP","NA","W","000406","pH","NA","12/18/2020 11:45:00","NA","NA","2020/12/18 11:45:00","SM4500 H+","9.4","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","MW-34","2020/12/18 12:11:00","PP","NA","W","000406","pH","NA","12/18/2020 12:11:00","NA","NA","2020/12/18 12:11:00","SM4500 H+","8.7","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","MW-29R","2020/12/18 12:36:00","PP","NA","W","000406","pH","NA","12/18/2020 12:36:00","NA","NA","2020/12/18 12:36:00","SM4500 H+","7.7","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","MW-32","2020/12/18 13:00:00","PP","NA","W","000406","pH","NA","12/18/2020 13:00:00","NA","NA","2020/12/18 13:00:00","SM4500 H+","7.1","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","MW-12R","2020/12/18 13:27:00","PP","NA","W","000406","pH","NA","12/18/2020 13:27:00","NA","NA","2020/12/18 13:27:00","SM4500 H+","7.8","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","MW-28RR","2020/12/18 13:53:00","PP","NA","W","000406","pH","NA","12/18/2020 13:53:00","NA","NA","2020/12/18 13:53:00","SM4500 H+","7.6","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","MW-31R","2020/12/18 14:20:00","PP","NA","W","000406","pH","NA","12/18/2020 14:20:00","NA","NA","2020/12/18 14:20:00","SM4500 H+","7.2","SU","D",,,"SEMGW","*********",,,"PRP",,,,,
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","T2023543006","2020/12/18 10:54:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:36:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","T2023543009","2020/12/18 11:20:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:55:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","T2023543008","2020/12/18 11:45:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:29:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","T2023543007","2020/12/18 12:11:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:02:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","T2023543003","2020/12/18 12:36:00","PP","N","W","034010","Toluene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 22:19:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","T2023543005","2020/12/18 13:00:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:09:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","T2023543001","2020/12/18 13:27:00","PP","N","W","034010","Toluene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:26:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","T2023543002","2020/12/18 13:53:00","PP","N","W","034010","Toluene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:53:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","T2023543004","2020/12/18 14:20:00","PP","N","W","034010","Toluene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 02:43:00","EPA 8260","0.66","ug/L","U","0.66",,"SEMGW","*********",,,"PRP","108883",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","T2023543006","2020/12/18 10:54:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:36:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","T2023543009","2020/12/18 11:20:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:55:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","T2023543008","2020/12/18 11:45:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:29:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","T2023543007","2020/12/18 12:11:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:02:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","T2023543003","2020/12/18 12:36:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 22:19:00","EPA 8260","7.1","ug/L",,"1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","T2023543005","2020/12/18 13:00:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:09:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","T2023543001","2020/12/18 13:27:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:26:00","EPA 8260","4.5","ug/L",,"1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","T2023543002","2020/12/18 13:53:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:53:00","EPA 8260","1.3","ug/L","U","1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","T2023543004","2020/12/18 14:20:00","PP","N","W","034020","Xylenes- Total","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 02:43:00","EPA 8260","3.2","ug/L",,"1.3",,"SEMGW","*********",,,"PRP","1330207",,"1",,"2.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","T2023543006","2020/12/18 10:54:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:36:00","EPA 8260","4.7","ug/L",,"0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","T2023543009","2020/12/18 11:20:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:55:00","EPA 8260","0.28","ug/L","U","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","T2023543008","2020/12/18 11:45:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:29:00","EPA 8260","0.44","ug/L","I","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","T2023543007","2020/12/18 12:11:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 04:02:00","EPA 8260","0.34","ug/L","I","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","T2023543003","2020/12/18 12:36:00","PP","N","W","034030","Benzene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 22:19:00","EPA 8260","12","ug/L",,"0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","T2023543005","2020/12/18 13:00:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 03:09:00","EPA 8260","2.1","ug/L",,"0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","T2023543001","2020/12/18 13:27:00","PP","N","W","034030","Benzene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:26:00","EPA 8260","1.1","ug/L",,"0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","T2023543002","2020/12/18 13:53:00","PP","N","W","034030","Benzene","E84589","2020/12/22 11:45:00","5030","Y","2020/12/22 21:53:00","EPA 8260","0.28","ug/L","U","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","T2023543004","2020/12/18 14:20:00","PP","N","W","034030","Benzene","E84589","2020/12/23 00:05:00","5030","Y","2020/12/23 02:43:00","EPA 8260","0.44","ug/L","I","0.28",,"SEMGW","*********",,,"PRP","71432",,"1",,"1.0"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","T2023543006","2020/12/18 10:54:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 20:18:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","T2023543009","2020/12/18 11:20:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 21:44:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","T2023543008","2020/12/18 11:45:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 21:15:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","T2023543007","2020/12/18 12:11:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 20:47:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","T2023543003","2020/12/18 12:36:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 18:52:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","T2023543005","2020/12/18 13:00:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 19:49:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","T2023543001","2020/12/18 13:27:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 17:55:00","EPA 8270/PAH Low Level","0.030","ug/L","U","0.030",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","T2023543002","2020/12/18 13:53:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 18:23:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-31R","Y","T2023543004","2020/12/18 14:20:00","PP","N","W","034200","Acenaphthylene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 19:21:00","EPA 8270/PAH Low Level","0.031","ug/L","U","0.031",,"SEMGW","*********",,,"PRP","208968",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-33","Y","T2023543006","2020/12/18 10:54:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 20:18:00","EPA 8270/PAH Low Level","40","ug/L",,"0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-36","Y","T2023543009","2020/12/18 11:20:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 21:44:00","EPA 8270/PAH Low Level","0.046","ug/L","I","0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-35","Y","T2023543008","2020/12/18 11:45:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 21:15:00","EPA 8270/PAH Low Level","0.32","ug/L",,"0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-34","Y","T2023543007","2020/12/18 12:11:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 20:47:00","EPA 8270/PAH Low Level","0.027","ug/L","U","0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-29R","Y","T2023543003","2020/12/18 12:36:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 18:52:00","EPA 8270/PAH Low Level","19","ug/L",,"0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-32","Y","T2023543005","2020/12/18 13:00:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 19:49:00","EPA 8270/PAH Low Level","2.7","ug/L",,"0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-12R","Y","T2023543001","2020/12/18 13:27:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 17:55:00","EPA 8270/PAH Low Level","3.9","ug/L",,"0.026",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
"sue bell","2020/12/28 12:11:52","9202376",,"DURA STRESS INC","MW-28RR","Y","T2023543002","2020/12/18 13:53:00","PP","N","W","034205","Acenaphthene","E84589","2020/12/22 08:00:00","3510","Y","2020/12/22 18:23:00","EPA 8270/PAH Low Level","0.69","ug/L",,"0.027",,"SEMGW","*********",,,"PRP","83329",,"1",,"0.19"
